id,name
15000000,ЗМ:1 (Lans Etses-Sky shopping center)
15000001,ЗМ:2 (Bayanhoshuu Etses-Sky shopping center)
15000002,ЗМ:3 (Zamt Delguur-Sky shopping center)
15000003,ЗМ:4 (Zuundelger Etses-Sky shopping center)
11100801,М:1 (5 Shar-Officer station)
11100802,М:2 (Zunjin trade center-Mongolian national university of education)
11100806,М:3 (General Office of Archives-)
11100803,М:4 (Shar khad final station-Tsambagarav)
11100804,М:5 (Botanik-10th section)
11100805,М:6 (3rd power plant-)
11100815,Х:1 (Baga bayan camp-7th station)
11100829,Х:10 (Shand khurgan-5 Shar)
11100820,Х:11 (Davaany zurlug-5 Shar)
11100821,Х:12 (Khonkhor final station-Officer station)
11100822,Х:13 (Mal bordokh-5 Shar)
11100823,Х:14 (Baruun turuu final station-5 Shar)
11100824,Х:15 (Jargalant partizan-5 Shar)
11100876,Х:16 (-Shine Nalaikh apartment)
11100816,Х:2 (Sharga morit final station-7th station)
11100827,Х:3 (Gorodok-10 shar bair)
11100825,Х:4 (Officer station-Shiljree)
11100826,Х:5 (10 shar bair-Officer station)
11100817,Х:6 (Turgenii gol final station-Yarmag 3rd station)
11100818,Х:7 (Tuul tosgon new final station-Yarmag 3rd station)
11100828,Х:8 (Nairamdal camp-5 Shar)
11100819,Х:9 (190th Kindergarten-Yarmag 3rd station)
11100100,Ч:10 (-3rd power plant)
11100130,Ч:13 (Takhilt final station-3rd hospital)
11100150,Ч:15 (Nisekh-5 Shar)
11100160,Ч:16 (Bumbatyn rashaan final station-10th section)
11100163,Ч:16А (Baruun salaa final station-5 Shar)
11100171,Ч:17А (Sansar gas station-Railway station)
11100172,Ч:17Б (Sansar gas station-Railway station)
11100181,Ч:18А (3rd power plant-Hospital for Injury and Trauma)
11100182,Ч:18Б (Mongolian National University-3rd power plant)
11100191,Ч:19А (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv)
11100192,Ч:19Б (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv)
11100020,"Ч:2 (Shar khad final station-Final station of 3, 4th section)"
11100201,Ч:20А (Bayankhoshuu-Flat 34)
11100202,Ч:20Б (Bayankhoshuu-Kharkhorin)
11100211,Ч:21А (Railway station-Autobus baaz)
11100212,Ч:21Б (Railway station-Autobus baaz)
11100223,Ч:22Өв (Shadivlan-Chingis-Soosei international relations school)
11100230,Ч:23 (Zurkh Uul /Chingeltei final station/-Ard cinema)
11100241,Ч:24А (Duukhee market-Zurkh Uul /Chingeltei final station/)
11100240,Ч:24Б (Nisekh-Mongolian National University)
11100250,Ч:25 (Toosgonii uildver final station-Duukhee market)
11100260,Ч:26 (Toosgonii uildver final station-Janjin club)
11100270,Ч:27 (Uvur sogoot-Railway station)
11100280,Ч:28 (Selkh-Ard cinema)
14100118,Ч:29А (Selbe camp-Urguu maternity hospital)
14100135,Ч:29Б (Sansar /Tunnel/-Railway station)
11100310,Ч:31 (Uliastai new final station-Zam guuriin avto baaz)
14100121,Ч:32Б (Officer station-3rd power plant)
11100330,Ч:33 (Shadivlan-Sansar gas station)
11100340,Ч:34 (Shar khad final station-3rd power plant)
11100350,Ч:35 (Tsagaan davaany zadgai-4th market)
11100370,Ч:37 (Ulaankhuaran final station-4th section)
11100380,Ч:38 (HMK-Khailaast new final station)
11100390,"Ч:39 (Sansar /Tunnel/-Final station of 3, 4th section)"
11100040,Ч:4 (5 Shar-Sansar gas station)
11100400,Ч:40 (Altan taria-Ulaankhuaran final station)
11100410,Ч:41 (Baruun salaa final station-Infectious Disease Hospital)
11100420,Ч:42 (Zaisan-Hyundai kia company mongolia)
11100430,Ч:43 (Bayankhoshuu-Ard cinema)
11100440,Ч:44 (Narangiin gol-Dunjingarav trade center)
11100460,Ч:46 (Ulaanchuluut-Railway station)
11100480,Ч:48 (Zuun salaa station-Mongolian national university of education)
11100482,Ч:48A (Zuun salaa station-Mongolian national university of education)
11100490,Ч:49 (Flat 34-Dunjingarav trade center)
11100500,Ч:50 (Ulaankhuaran final station-3rd power plant)
11100510,Ч:51 (Duukhee market-Dunjingarav trade center)
11100520,Ч:52 (Duukhee market-Zaisan)
11100530,Ч:53 (Yarmag final station-Mongolian national university of education)
11100540,Ч:54 (Yarmag final station-Bayankhoshuu)
11100550,Ч:55 (Autobus baaz-Zaisan)
11100570,Ч:57 (Ulaanchuluut-National university of mongolia)
11100573,Ч:57Б (Altan ovoo street 48-National university of mongolia)
11100580,"Ч:58 (3rd power plant-Final station of 3, 4th section)"
11100060,Ч:6 (65th market-10th section)
11100612,Ч:61 (3rd power plant-Officer station)
11100620,Ч:62 (Altan ovoo street 48-10th section)
11100630,Ч:63 (Khan hills-Mongolian national university of education)
11100640,Ч:64 (Tsagaan davaany zadgai-Infectious Disease Hospital)
11100650,Ч:65 (Zaisan-Officer station)
11100660,Ч:66 (Zaisan-11th section)
11100670,Ч:67 (Morin 3-Nisekh)
11100680,Ч:68 (General Office of Archives-Nisekh final station)
14100129,Ч:69Б (Hospital for Injury and Trauma-British school)
11100070,Ч:7 (Nisekh-Ard cinema)
11100700,Ч:70 (3rd power plant-Ard cinema)
11100710,Ч:71 (Mongolian national university of education-120 myangat)
11100720,Ч:72 (Music and Dance College of Mongolia-Bogdkhan camp)
11100730,Ч:73 (4th power plant-Zunjin trade center)
11100740,Ч:74 (Tsagaan davaany zadgai-Railway station)
11100155,Ч:75 (General Office of Archives-5 Shar)
11100743,"Ч:76 (General Office of Archives-Final station of 3, 4th section)"
11100080,Ч:8 (Khailaast new final station-Mongolian national university of education)
11100090,Ч:9 (Nisekh-4th market)
11100840,Ү:12 (-Flat 32)
11100844,Ү:18 (Gan Khiits company-Moto shooting sports center)
11100845,Ү:19 (Narangiin gol-5 Shar)
11100846,Ү:20 (Orbit new final station-5 Shar)
11100848,Ү:22 (5 Shar-Auto Trade Complex)
11100849,Ү:23 (Khujirbulan final station-Officer station)
11100850,Ү:24 (Urgakh naran final station-Officer station)
11100851,Ү:25 (Uliastai new final station-Officer station)
11100853,Ү:27 (Gachuurt final station-Officer station)
11100856,Ү:30 (Janjin club-)
11100857,Ү:31 (Zaisan-Tsambagarav)
