station_name,station_id,longitude,latitude
ШАРГА МОРЬТЫН ЭЦЭС-зуслан,000000350,106.93177,48.06906
Шарга морьтын 5-р буудал,000001605,106.92595,48.06796
Шарга морьтын 4-р буудал,000001607,106.92189,48.06566
Шарга морьт 3,000000352,106.91612,48.06214
Шарга морьт 2,000000353,106.90878,48.05878
Шарга морьт 1,000000349,106.9053,48.05266
Жигжидийн уулзвар,000000345,106.90065,48.04772
Яргайтын богино,000000342,106.90313,48.04296
Яргайтын богино 1,000001264,106.90529,48.03875
Яргайт,000000340,106.9074,48.03486
Яргайт 1,000001262,106.91126,48.02909
100 мод,000000338,106.91328,48.02489
Сэтгүүлчдийн төгөл,000001266,106.91534,48.01941
Шадивлан,000000335,106.9177,48.01522
Шадивлан-1,000001296,106.92089,48.01132
Ар согоот,000000333,106.92437,47.99991
Салхит,000000331,106.92567,47.99331
Салхит завсар-3,000001258,106.92511,47.98865
Салхит завсар-2,000001256,106.92361,47.98344
Салхит завсар-1,000001254,106.92049,47.98006
Замын цагдаагийн пост,000000314,106.91797,47.97417
7 БУУДАЛ,000000241,106.91723,47.96827
6 буудал,000000243,106.91725,47.96502
Оргил супермаркет,000001444,106.91672,47.96128
7 Завсар,000000245,106.91593,47.95819
5 буудал,000000247,106.915,47.95455
17-р сургууль,000000269,106.91389,47.94768
32-ын тойрог,000000267,106.91448,47.94317
Ногоон нуур буудал,000000300,106.91599,47.93502
4-р дэлгүүр,000000294,106.91744,47.92716
Монгол Улсын Их Сургууль,000000307,106.92211,47.92247
МУБИС,000000287,106.9233,47.91972
Өргөө амаржих газар,000000281,106.92632,47.918
Бөхийн өргөө,000000369,106.93362,47.91839
Зүүн 4 зам,000000371,106.94104,47.91885
Хавдар судлалын эмнэлэг,000000401,106.94377,47.91484
Улаанбаатар их сургууль,000000406,106.94343,47.91104
Их монгол хороолол,000001445,106.94323,47.90647
Дүнжингарав Худалдааны төв,000000621,106.94901,47.90496
